# 2-Theta   Intensity
55.3743   30.0
55.3993   33.0
55.4243   32.0
55.4493   16.0
55.4743   29.0
55.4993   22.0
55.5243   36.0
55.5493   29.0
55.5743   39.0
55.5993   31.0
55.6243   43.0
55.6493   53.0
55.6743   38.0
55.6993   49.0
55.7243   38.0
55.7493   46.0
55.7743   40.0
55.7993   49.0
55.8243   50.0
55.8493   47.0
55.8743   57.0
55.8993   82.0
55.9243   75.0
55.9493   110.0
55.9743   121.0
55.9993   136.0
56.0243   156.0
56.0493   184.0
56.0743   249.0
56.0993   243.0
56.1243   292.0
56.1493   299.0
56.1743   357.0
56.1993   561.0
56.2243   942.0
56.2493   1536.0
56.2743   3180.0
56.2993   6256.0
56.3243   11067.0
56.3493   11620.0
56.3743   7656.0
56.3993   3648.0
56.4243   2520.0
56.4493   3249.0
56.4743   5329.0
56.4993   5944.0
56.5243   3757.0
56.5493   1640.0
56.5743   723.0
56.5993   445.0
56.6243   299.0
56.6493   243.0
56.6743   174.0
56.6993   174.0
56.7243   139.0
56.7493   118.0
56.7743   82.0
56.7993   86.0
56.8243   70.0
56.8493   56.0
56.8743   56.0
56.8993   53.0
56.9243   53.0
56.9493   34.0
56.9743   39.0
56.9993   56.0
57.0243   38.0
57.0493   47.0
57.0743   39.0
57.0993   44.0
57.1243   43.0
57.1493   31.0
57.1743   29.0
57.1993   33.0
57.2243   32.0
57.2493   33.0
57.2743   24.0
57.2993   32.0
57.3243   33.0
57.3493   26.0
57.3743   28.0
57.3993   36.0
57.4243   26.0
57.4493   36.0
57.4743   32.0
57.4993   25.0
57.5243   20.0
57.5493   31.0
57.5743   32.0
57.5993   20.0
57.6243   29.0
57.6493   26.0
57.6743   24.0
57.6993   24.0
57.7243   20.0
57.7493   25.0
57.7743   30.0
57.7993   22.0
57.8243   23.0
57.8493   22.0
57.8743   25.0
57.8993   19.0
57.9243   26.0
57.9493   24.0
57.9743   25.0
57.9993   23.0
58.0243   17.0
58.0493   16.0
58.0743   24.0
58.0993   25.0
58.1243   31.0
58.1493   21.0
58.1743   16.0
58.1993   30.0
58.2243   17.0
58.2493   16.0
58.2743   16.0
58.2993   16.0
58.3243   17.0
58.3493   13.0
58.3743   24.0
58.3993   23.0
58.4243   21.0
58.4493   22.0
58.4743   19.0
58.4993   16.0
58.5243   23.0
58.5493   31.0
58.5743   23.0
58.5993   21.0
58.6243   25.0
58.6493   27.0
58.6743   28.0
58.6993   36.0
58.7243   32.0
58.7493   40.0
58.7743   37.0
58.7993   62.0
58.8243   50.0
58.8493   47.0
58.8743   65.0
58.8993   54.0
58.9243   106.0
58.9493   102.0
58.9743   193.0
